Spistillat_701	Spi_isotig00686
Spistillat_702	Spi_isotig00687
Spistillat_703	Spi_isotig00688
Spistillat_704	Spi_isotig00689
Spistillat_705	Spi_isotig00690
Spistillat_706	Spi_isotig00691
Spistillat_707	Spi_isotig00692
Spistillat_708	Spi_isotig00693
Spistillat_709	Spi_isotig00694
Spistillat_710	Spi_isotig00695
Spistillat_711	Spi_isotig00696
Spistillat_712	Spi_isotig00697
Spistillat_713	Spi_isotig00698
Spistillat_714	Spi_isotig00699
Spistillat_715	Spi_isotig00700
Spistillat_716	Spi_isotig00701
Spistillat_717	Spi_isotig00702
Spistillat_718	Spi_isotig00703
Spistillat_719	Spi_isotig00704
Spistillat_720	Spi_isotig00705
Spistillat_721	Spi_isotig00706
Spistillat_722	Spi_isotig00707
Spistillat_723	Spi_isotig00708
Spistillat_724	Spi_isotig00709
Spistillat_725	Spi_isotig00710
Spistillat_726	Spi_isotig00711
Spistillat_727	Spi_isotig00712
Spistillat_728	Spi_isotig00713
Spistillat_729	Spi_isotig00714
Spistillat_730	Spi_isotig00715
Spistillat_731	Spi_isotig00716
Spistillat_732	Spi_isotig00717
Spistillat_733	Spi_isotig00718
Spistillat_734	Spi_isotig00719
Spistillat_735	Spi_isotig00720
Spistillat_736	Spi_isotig00721
Spistillat_737	Spi_isotig00722
Spistillat_738	Spi_isotig00723
Spistillat_739	Spi_isotig00724
Spistillat_740	Spi_isotig00725
Spistillat_741	Spi_isotig00726
Spistillat_742	Spi_isotig00727
Spistillat_743	Spi_isotig00728
Spistillat_744	Spi_isotig00729
Spistillat_745	Spi_isotig00730
Spistillat_746	Spi_isotig00731
Spistillat_747	Spi_isotig00732
Spistillat_748	Spi_isotig00733
Spistillat_749	Spi_isotig00734
Spistillat_750	Spi_isotig00735
Spistillat_751	Spi_isotig00736
Spistillat_752	Spi_isotig00737
Spistillat_753	Spi_isotig00738
Spistillat_754	Spi_isotig00739
Spistillat_755	Spi_isotig00740
Spistillat_756	Spi_isotig00741
Spistillat_757	Spi_isotig00742
Spistillat_758	Spi_isotig00743
Spistillat_759	Spi_isotig00744
Spistillat_760	Spi_isotig00745
Spistillat_761	Spi_isotig00746
Spistillat_762	Spi_isotig00747
Spistillat_763	Spi_isotig00748
Spistillat_764	Spi_isotig00749
Spistillat_765	Spi_isotig00750
Spistillat_766	Spi_isotig00751
Spistillat_767	Spi_isotig00752
Spistillat_768	Spi_isotig00753
Spistillat_769	Spi_isotig00754
Spistillat_770	Spi_isotig00755
Spistillat_771	Spi_isotig00756
Spistillat_772	Spi_isotig00757
Spistillat_773	Spi_isotig00758
Spistillat_774	Spi_isotig00759
Spistillat_775	Spi_isotig00760
Spistillat_776	Spi_isotig00761
Spistillat_777	Spi_isotig00762
Spistillat_778	Spi_isotig00763
