Gacrhelia_618	c60221_g4_i1
Gacrhelia_619	c60221_g5_i1
Gacrhelia_620	c60221_g4_i2
Gacrhelia_621	c60221_g6_i1
Gacrhelia_622	c60221_g6_i2
Gacrhelia_623	c60221_g5_i6
Gacrhelia_624	c60221_g5_i7
Gacrhelia_625	c60221_g6_i4
Gacrhelia_626	c60221_g5_i11
Gacrhelia_627	c60221_g4_i6
Gacrhelia_628	c60221_g9_i1
Gacrhelia_629	c60221_g4_i7
Gacrhelia_630	c60221_g6_i5
Gacrhelia_631	c60221_g5_i13
Gacrhelia_632	c60301_g2_i1
Gacrhelia_633	c60301_g2_i2
Gacrhelia_634	c60301_g2_i4
Gacrhelia_635	c60301_g2_i6
Gacrhelia_636	c60378_g3_i2
Gacrhelia_637	c60378_g7_i1
Gacrhelia_638	c60378_g7_i2
Gacrhelia_639	c60378_g13_i1
Gacrhelia_640	c60378_g13_i2
Gacrhelia_641	c60259_g1_i1
Gacrhelia_642	c60259_g1_i2
Gacrhelia_643	c60259_g1_i3
Gacrhelia_644	c60259_g1_i4
Gacrhelia_645	c60542_g5_i1
Gacrhelia_646	c60542_g5_i2
Gacrhelia_647	c60542_g5_i3
Gacrhelia_648	c60542_g5_i4
Gacrhelia_649	c60542_g7_i1
Gacrhelia_650	c60542_g7_i2
Gacrhelia_651	c60542_g8_i1
Gacrhelia_652	c60542_g8_i2
Gacrhelia_653	c60542_g7_i3
Gacrhelia_654	c60542_g8_i4
Gacrhelia_655	c60542_g7_i4
Gacrhelia_656	c60542_g7_i5
Gacrhelia_657	c60542_g7_i6
Gacrhelia_658	c60928_g1_i2
Gacrhelia_659	c60928_g1_i5
Gacrhelia_660	c60782_g1_i1
Gacrhelia_661	c60782_g3_i1
Gacrhelia_662	c60782_g3_i2
Gacrhelia_663	c60782_g5_i1
Gacrhelia_664	c60782_g3_i3
Gacrhelia_665	c60782_g3_i4
Gacrhelia_666	c60782_g3_i5
Gacrhelia_667	c60782_g3_i6
Gacrhelia_668	c60341_g1_i1
Gacrhelia_669	c60341_g2_i1
Gacrhelia_670	c60341_g3_i1
Gacrhelia_671	c60341_g3_i3
Gacrhelia_672	c60341_g3_i6
Gacrhelia_673	c60341_g3_i7
Gacrhelia_674	c60341_g3_i8
Gacrhelia_675	c60341_g3_i10
Gacrhelia_676	c60341_g3_i12
Gacrhelia_677	c60341_g3_i14
