Acervicorn_729	GASU01000729.1
Acervicorn_730	GASU01000730.1
Acervicorn_731	GASU01000731.1
Acervicorn_732	GASU01000732.1
Acervicorn_733	GASU01000733.1
Acervicorn_734	GASU01000734.1
Acervicorn_735	GASU01000735.1
Acervicorn_736	GASU01000736.1
Acervicorn_737	GASU01000737.1
Acervicorn_738	GASU01000738.1
Acervicorn_739	GASU01000739.1
Acervicorn_740	GASU01000740.1
Acervicorn_741	GASU01000741.1
Acervicorn_742	GASU01000742.1
Acervicorn_743	GASU01000743.1
Acervicorn_744	GASU01000744.1
Acervicorn_745	GASU01000745.1
Acervicorn_746	GASU01000746.1
Acervicorn_747	GASU01000747.1
Acervicorn_748	GASU01000748.1
Acervicorn_749	GASU01000749.1
Acervicorn_750	GASU01000750.1
Acervicorn_751	GASU01000751.1
Acervicorn_752	GASU01000752.1
Acervicorn_753	GASU01000753.1
Acervicorn_754	GASU01000754.1
Acervicorn_755	GASU01000755.1
Acervicorn_756	GASU01000756.1
Acervicorn_757	GASU01000757.1
Acervicorn_758	GASU01000758.1
Acervicorn_759	GASU01000759.1
Acervicorn_760	GASU01000760.1
Acervicorn_761	GASU01000761.1
Acervicorn_762	GASU01000762.1
Acervicorn_763	GASU01000763.1
Acervicorn_764	GASU01000764.1
Acervicorn_765	GASU01000765.1
Acervicorn_766	GASU01000766.1
Acervicorn_767	GASU01000767.1
Acervicorn_768	GASU01000768.1
Acervicorn_769	GASU01000769.1
Acervicorn_770	GASU01000770.1
Acervicorn_771	GASU01000771.1
Acervicorn_772	GASU01000772.1
Acervicorn_773	GASU01000773.1
Acervicorn_774	GASU01000774.1
Acervicorn_775	GASU01000775.1
Acervicorn_776	GASU01000776.1
Acervicorn_777	GASU01000777.1
